id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
18,"Deadlines are piling up, I feel like I’ll collapse",stressed,deadlines;overload,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.93
19,Working on routine assignments,neutral,routine;सामान्य,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.99
20,"I got an A on my exam, feeling amazing!",happy,well-being;joy,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.73
21,"I got an A on my exam, feeling amazing!",happy,enjoyed;amazing,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.83
22,"Classes were normal today, nothing much happened",neutral,nothing special;normal,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.85
23,I have too many assignments and can't finish on time,stressed,संभाल;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.74
24,Feeling anxious about meeting new people,anxious,परेशान;worried,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.84
25,I have too many assignments and can't finish on time,stressed,pressure;overload,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.95
26,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;काम,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.92
27,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,परेशान;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.95
28,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,usual;ordinary,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.82
29,I can achieve my goals if I work hard,motivated,उत्साहित;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.77
30,I have too many assignments and can't finish on time,stressed,deadlines;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.87
31,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;deadlines,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.96
32,मुझे लगता है कि सब बेकार है,depressed,tired;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.84
33,मुझे बहुत खुशी हो रही है आज,happy,enjoyed;well-being,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.77
34,"Attending usual lectures, nothing new",neutral,ordinary;routine,Got it — sounds like a steady day.,Reflect on small achievements.,0.83
35,"Attending usual lectures, nothing new",neutral,सामान्य;routine,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.99
36,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;pressure,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.76
37,Enjoyed a wonderful day outdoors,happy,friends;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.83
38,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,tasks;deadlines,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.99
39,"Deadlines are piling up, I feel like I’ll collapse",stressed,overload;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.84
40,"Classes were normal today, nothing much happened",neutral,ordinary;सामान्य,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.78
41,"Just finished my homework, pretty regular day",neutral,सामान्य;usual,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.84
42,My heart is racing thinking about the exam,anxious,nervous;worried,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.86
43,I can achieve my goals if I work hard,motivated,energy;excited,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.85
44,मुझे बहुत खुशी हो रही है आज,happy,joy;well-being,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.72
45,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,काम;deadlines,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.87
46,I feel overwhelmed with all the tasks,stressed,deadlines;काम,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.86
47,Everything feels meaningless and dark,depressed,lonely;dark,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.81
48,I can achieve my goals if I work hard,motivated,उत्साहित;enthusiastic,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.83
49,Had a great time with friends today!,happy,joy;well-being,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.78
50,मुझे लगता है कि सब बेकार है,depressed,lonely;dark,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.83
51,"I got an A on my exam, feeling amazing!",happy,well-being;enjoyed,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.94
52,मुझे लगता है कि सब बेकार है,depressed,lonely;dark,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.92
53,My heart is racing thinking about the exam,anxious,ghabraahat;परेशान,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.8
54,I can achieve my goals if I work hard,motivated,goal;उत्साहित,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.73
55,"Just finished my homework, pretty regular day",neutral,routine;nothing special,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.88
56,I don't see the point in anything anymore,depressed,meaningless;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.82
57,"Deadlines are piling up, I feel like I’ll collapse",stressed,deadlines;overload,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.94
58,Everything is going well in life,happy,friends;खुशी,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.79
59,I have too many assignments and can't finish on time,stressed,overload;संभाल,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.8
60,Enjoyed a wonderful day outdoors,happy,well-being;friends,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.98
61,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,worried;nervous,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.93
62,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,normal;ordinary,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.81
63,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.79
64,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,worried;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.78
65,I have too many assignments and can't finish on time,stressed,pressure;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.98
66,"I got an A on my exam, feeling amazing!",happy,joy;enjoyed,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.87
67,मुझे लगता है कि सब बेकार है,depressed,hopeless;tired,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.91
68,Feeling so lonely even when surrounded by people,depressed,tired;meaningless,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.96
69,My heart is racing thinking about the exam,anxious,worried;heart racing,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.97
70,मुझे बहुत खुशी हो रही है आज,happy,amazing;खुशी,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.97
71,"I got an A on my exam, feeling amazing!",happy,enjoyed;joy,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.85
72,Ready to tackle all my assignments,motivated,enthusiastic;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.86
73,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;heart racing,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.96
74,Everything is going well in life,happy,amazing;खुशी,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.79
75,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,परेशान;anxious,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.83
76,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,usual;सामान्य,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.89
77,I'm tired all the time and don't want to do anything,depressed,meaningless;tired,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.94
78,My heart is racing thinking about the exam,anxious,nervous;anxious,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.71
79,Working on routine assignments,neutral,routine;सामान्य,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.87
80,Ready to tackle all my assignments,motivated,उत्साहित;excited,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.89
81,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;overload,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.85
82,I feel overwhelmed with all the tasks,stressed,overload;deadlines,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.93
83,Excited to learn new things today,motivated,goal;excited,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.88
84,Excited to learn new things today,motivated,उत्साहित;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.92
85,"Attending usual lectures, nothing new",neutral,normal;ordinary,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.92
86,Enjoyed a wonderful day outdoors,happy,enjoyed;friends,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.72
87,I don't see the point in anything anymore,depressed,dark;meaningless,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.72
88,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,heart racing;nervous,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.72
89,"Just finished my homework, pretty regular day",neutral,usual;सामान्य,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.76
90,"Attending usual lectures, nothing new",neutral,usual;routine,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.84
91,Everything feels meaningless and dark,depressed,बेकार;meaningless,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.91
92,मुझे बहुत खुशी हो रही है आज,happy,खुशी;friends,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.84
93,"Just finished my homework, pretty regular day",neutral,nothing special;सामान्य,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.94
94,Feeling anxious about meeting new people,anxious,परेशान;worried,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.86
95,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;काम,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.75
96,Feeling so lonely even when surrounded by people,depressed,dark;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.8
97,"Just finished my homework, pretty regular day",neutral,सामान्य;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.71
98,Had a great time with friends today!,happy,amazing;friends,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.93
99,Feeling pumped to finish my project tonight,motivated,energy;drive,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.88
100,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,heart racing;worried,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.83
101,Everything feels meaningless and dark,depressed,lonely;tired,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.91
102,My heart is racing thinking about the exam,anxious,worried;परेशान,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.87
103,"Attending usual lectures, nothing new",neutral,nothing special;ordinary,Got it — sounds like a steady day.,Reflect on small achievements.,0.9
104,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.93
105,Had a great time with friends today!,happy,amazing;well-being,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.81
106,"I got an A on my exam, feeling amazing!",happy,joy;खुशी,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.83
107,Feeling so lonely even when surrounded by people,depressed,meaningless;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.91
108,I can achieve my goals if I work hard,motivated,goal;excited,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.83
109,Excited to learn new things today,motivated,enthusiastic;excited,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.78
110,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,सामान्य;usual,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.81
111,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,pressure;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.8
112,Everything feels meaningless and dark,depressed,dark;tired,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.86
113,मुझे बहुत खुशी हो रही है आज,happy,joy;friends,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.84
114,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.73
115,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.87
116,Working on routine assignments,neutral,usual;normal,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.86
117,Feeling so lonely even when surrounded by people,depressed,dark;meaningless,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.73
118,My heart is racing thinking about the exam,anxious,worried;परेशान,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.76
119,Ready to tackle all my assignments,motivated,enthusiastic;goal,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.78
120,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,pressure;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.79
121,Excited to learn new things today,motivated,drive;enthusiastic,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.86
122,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;उत्साहित,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.87
123,"Attending usual lectures, nothing new",neutral,सामान्य;normal,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.77
124,"Classes were normal today, nothing much happened",neutral,routine;सामान्य,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.87
125,Feeling pumped to finish my project tonight,motivated,drive;excited,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.72
126,I can't stop worrying about the interview tomorrow,anxious,परेशान;heart racing,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.93
127,Feeling anxious about meeting new people,anxious,heart racing;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.95
128,"Just finished my homework, pretty regular day",neutral,usual;nothing special,Got it — sounds like a steady day.,Reflect on small achievements.,0.98
129,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,संभाल;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.72
130,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,परेशान;worried,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.82
131,Excited to learn new things today,motivated,उत्साहित;enthusiastic,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.78
132,Feeling so lonely even when surrounded by people,depressed,hopeless;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.87
133,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,worried;परेशान,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.74
134,I don't see the point in anything anymore,depressed,hopeless;meaningless,I'm here for you — it sounds heavy.,Reach out to a trusted friend or counselor.,0.87
135,"I got an A on my exam, feeling amazing!",happy,खुशी;joy,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.79
136,"Just finished my homework, pretty regular day",neutral,usual;nothing special,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.72
137,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;pressure,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.71
138,Feeling anxious about meeting new people,anxious,परेशान;worried,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.87
139,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,परेशान;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.99
140,"Attending usual lectures, nothing new",neutral,routine;सामान्य,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.8
141,Feeling pumped to finish my project tonight,motivated,drive;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.84
142,Ready to tackle all my assignments,motivated,goal;energy,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.79
143,मुझे लगता है कि सब बेकार है,depressed,बेकार;tired,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.95
144,"Attending usual lectures, nothing new",neutral,routine;ordinary,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.88
145,"Attending usual lectures, nothing new",neutral,routine;ordinary,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.74
146,Feeling so lonely even when surrounded by people,depressed,meaningless;बेकार,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.98
147,मुझे बहुत खुशी हो रही है आज,happy,enjoyed;friends,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.7
148,"Classes were normal today, nothing much happened",neutral,ordinary;routine,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.89
149,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;ghabraahat,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.78
150,"Attending usual lectures, nothing new",neutral,ordinary;सामान्य,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.81
151,Everything is going well in life,happy,enjoyed;friends,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.92
152,"Just finished my homework, pretty regular day",neutral,usual;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.91
153,Everything is going well in life,happy,enjoyed;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.86
154,Everything feels meaningless and dark,depressed,tired;meaningless,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.97
155,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,परेशान;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.71
156,Ready to tackle all my assignments,motivated,excited;उत्साहित,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.93
157,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,उत्साहित;energy,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.98
158,मुझे लगता है कि सब बेकार है,depressed,बेकार;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.7
159,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;nervous,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.93
160,Everything feels meaningless and dark,depressed,tired;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.95
161,Excited to learn new things today,motivated,उत्साहित;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.96
162,Working on routine assignments,neutral,routine;usual,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.88
163,I don't see the point in anything anymore,depressed,meaningless;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.92
164,Feeling pumped to finish my project tonight,motivated,उत्साहित;drive,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.96
165,I have too many assignments and can't finish on time,stressed,deadlines;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.82
166,Feeling anxious about meeting new people,anxious,heart racing;परेशान,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.75
167,I feel overwhelmed with all the tasks,stressed,काम;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.84
168,मुझे बहुत खुशी हो रही है आज,happy,friends;खुशी,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.83
169,Feeling pumped to finish my project tonight,motivated,उत्साहित;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.75
170,"Just finished my homework, pretty regular day",neutral,usual;normal,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.9
171,"Just finished my homework, pretty regular day",neutral,ordinary;सामान्य,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.77
172,"I got an A on my exam, feeling amazing!",happy,well-being;amazing,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.71
173,Ready to tackle all my assignments,motivated,enthusiastic;energy,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.93
174,I feel overwhelmed with all the tasks,stressed,संभाल;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.88
175,I don't see the point in anything anymore,depressed,meaningless;lonely,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.9
176,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;energy,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.71
177,"Classes were normal today, nothing much happened",neutral,usual;normal,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.73
178,Everything feels meaningless and dark,depressed,meaningless;बेकार,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.74
179,"I got an A on my exam, feeling amazing!",happy,well-being;enjoyed,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.77
180,"Just finished my homework, pretty regular day",neutral,nothing special;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.98
181,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,anxious;heart racing,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.73
182,"Classes were normal today, nothing much happened",neutral,normal;usual,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.81
183,I can achieve my goals if I work hard,motivated,goal;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.73
